,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,batch-processing-gateway,Java
10,ccs-caldavclientlibrary,HTML
11,ccs-caldavtester,Python
12,ccs-calendarserver,Python
13,ccs-pycalendar,Python
14,ccs-pykerberos,C
15,ccs-pyopendirectory,C++
16,ccs-pyosxframeworks,Python
17,ccs-pysecuretransport,Python
18,ccs-twistedextensions,Python
19,coremltools,Python
20,cups,C
21,darwin-libplatform,C
22,darwin-libpthread,C
23,darwin-xnu,C
24,device-management,
25,example-package-dealer,Swift
26,example-package-deckofplayingcards,Swift
27,example-package-fisheryates,Swift
28,example-package-playingcard,Swift
29,FHIRModels,Swift
30,foundationdb,C++
31,fstools,C
32,GCGC,Jupyter Notebook
33,homebrew-apple,Ruby
34,HomeKitADK,C
35,indexstore-db,C++
36,learning-compressible-subspaces,Python
37,learning-subspaces,Python
38,llvm-monorepo-root,
39,llvm-project,
40,llvm-project-v5,C++
41,llvm-project-v5-split,C++
42,MaterialX,
43,ml-afv,Python
44,ml-all-pairs,Python
45,ml-ane-transformers,Python
46,ml-aspanformer,Python
47,ml-autofocusformer,Python
48,ml-autofocusformer-segmentation,Python
49,ml-batchquant,Python
50,ml-capsules-inverted-attention-routing,Python
51,ml-cifar-10-faster,Python
52,ml-code-switched-speech-translation,Python
53,ml-collegial-ensembles,Python
54,ml-core,Python
55,ml-covid-mobility,R
56,ml-cread,Python
57,ml-cvnets,Python
58,ml-cvpr2019-swd,Python
59,ml-dab,Python
60,ml-data-parameters,Python
61,ml-destseg,Python
62,ml-dms-dataset,Python
63,ml-envmapnet,Python
64,ml-equivariant-neural-rendering,Jupyter Notebook
65,ml-facelit,Python
66,ml-fct,Python
67,ml-flair,Jupyter Notebook
68,ml-gaudi,
69,ml-gmpi,Python
70,ml-gsn,Python
71,ml-hierarchical-confusion-matrix,TypeScript
72,ml-hypersim,Python
73,ml-interspeech2022-phi_rtn,
74,ml-knowledge-conflicts,Python
75,ml-live-pose,
76,ml-mkqa,Python
77,ml-mobileone,Swift
78,ml-multiple-futures-prediction,Python
79,ml-ncg,Python
80,ml-neilf,Python
81,ml-neuman,Python
82,ml-no-token-left-behind,Jupyter Notebook
83,ml-pointersect,Python
84,ml-probabilistic-attention,Python
85,ml-qrecc,Python
86,ml-quant,Python
87,ml-robust-expert-augmentations,Python
88,ml-sad,Python
89,ml-selfcond,Python
90,ml-shuffling-amplification,Python
91,ml-spin,Python
92,ml-stable-diffusion,Python
93,ml-stuttering-events-dataset,Python
94,ml-tract,Python
95,ml-transcript-translation-consistency-ratings,
96,ml-translate-vis,TypeScript
97,ml-tree-dst,Python
98,ml-tune-mode-convbn,Python
99,ml-uwac,Python
100,ml-vfi-smiff,Python
101,openjdk,Java
102,password-manager-resources,JavaScript
103,sample-backyard-birds,Swift
104,sample-cloudkit-coredatasync,Swift
105,sample-cloudkit-encryption,Swift
106,sample-cloudkit-privatedb,Swift
107,sample-cloudkit-privatedb-sync,Swift
108,sample-cloudkit-queries,Swift
109,sample-cloudkit-sharing,Swift
110,sample-cloudkit-sync-engine,Swift
111,sample-cloudkit-tooling,JavaScript
112,sample-cloudkit-zonesharing,Swift
113,sample-food-truck,Swift
114,servicetalk,Java
115,sourcekit-lsp,Swift
116,swift,C++
117,swift-3-api-guidelines-review,Swift
118,swift-algorithms,Swift
119,swift-argument-parser,Swift
120,swift-asn1,Swift
121,swift-async-algorithms,Swift
122,swift-atomics,Swift
123,swift-book,Markdown
124,swift-cassandra-client,Swift
125,swift-certificates,Swift
126,swift-clang,C++
127,swift-clang-tools-extra,C++
128,swift-cluster-membership,Swift
129,swift-cmake-examples,CMake
130,swift-cmark,C
131,swift-collections,Swift
132,swift-collections-benchmark,Swift
133,swift-community-hosted-continuous-integration,
134,swift-compiler-rt,C
135,swift-corelibs-foundation,Swift
136,swift-corelibs-libdispatch,C
137,swift-corelibs-xctest,Swift
138,swift-crypto,C
139,swift-distributed-actors,Swift
140,swift-distributed-tracing,Swift
141,swift-distributed-tracing-baggage-core,Swift
142,swift-distributed-tracing-extras,Swift
143,swift-docc,Swift
144,swift-docc-plugin,Swift
145,swift-docc-render,JavaScript
146,swift-docc-render-artifact,
147,swift-docc-symbolkit,Swift
148,swift-docker,Dockerfile
149,swift-driver,Swift
150,swift-evolution,Markdown
151,swift-evolution-staging,Swift
152,swift-experimental-string-processing,Swift
153,swift-format,Swift
154,swift-foundation,Swift
155,swift-foundation-icu,C
156,swift-http-structured-headers,Swift
157,swift-installer-scripts,CMake
158,swift-integration-tests,Python
159,swift-internals,HTML
160,swift-issues,
161,swift-libcxx,C++
162,swift-llbuild,C++
163,swift-llbuild2,Swift
164,swift-lldb,C++
165,swift-llvm,LLVM
166,swift-llvm-bindings,Swift
167,swift-lmdb,C
168,swift-log,Swift
169,swift-markdown,Swift
170,swift-metrics,Swift
171,swift-metrics-extras,Swift
172,swift-nio,Swift
173,swift-nio-examples,Swift
174,swift-nio-extras,Swift
175,swift-nio-http2,Swift
176,swift-nio-imap,Swift
177,swift-nio-nghttp2-support,Swift
178,swift-nio-ssh,Swift
179,swift-nio-ssl,C
180,swift-nio-ssl-support,Swift
181,swift-nio-transport-services,Swift
182,swift-nio-zlib-support,Swift
183,swift-numerics,Swift
184,swift-openapi-generator,Swift
185,swift-openapi-runtime,Swift
186,swift-openapi-urlsession,Swift
187,swift-org-website,SCSS
188,swift-package-collection-generator,Swift
189,swift-package-manager,Swift
190,swift-package-registry-compatibility-test-suite,Swift
191,swift-protobuf,Swift
192,swift-protobuf-plugin,
193,swift-protobuf-test-conformance,
194,swift-sample-distributed-actors-transport,Swift
195,swift-se0270-range-set,Swift
196,swift-se0288-is-power,Swift
197,swift-service-context,Swift
198,swift-service-discovery,Swift
199,swift-source-compat-suite,Python
200,swift-standard-library-preview,Swift
201,swift-statsd-client,Swift
202,swift-stress-tester,Swift
203,swift-syntax,Swift
204,swift-system,Swift
205,swift-tools-support-async,Swift
206,swift-tools-support-core,Swift
207,swift-xcode-playground-support,Swift
208,swiftpm-on-llbuild2,Swift
209,tensorflow_macos,Shell
